1, 0.000144
2, 0.000150
3, 0.000155
4, 0.000159
5, 0.000163
6, 0.000168
7, 0.000173
8, 0.000178
9, 0.000182
10, 0.000187
11, 0.000191
12, 0.000196
13, 0.000203
14, 0.000206
15, 0.000211
16, 0.000216
17, 0.000220
18, 0.000225
19, 0.000229
20, 0.000234
21, 0.000239
22, 0.000244
23, 0.000249
24, 0.000254
25, 0.000258
26, 0.000263
27, 0.000268
28, 0.000272
29, 0.000277
30, 0.000281
31, 0.000287
32, 0.000291
33, 0.000296
34, 0.000301
35, 0.000306
36, 0.000311
37, 0.000316
38, 0.000320
39, 0.000325
40, 0.000330
